,tokenize,n
21813,Moderna,4748
6030,Covaxin,2563
10829,first,2015
7999,dose,1942
25919,Pfizer/BioNTech,1736
12682,got,1684
32331,Sputnik V,1623
34415,today,1581
25916,Pfizer,1404
31411,shot,1387
12097,get,1239
1094,amp,1135
33852,thank,1119
36419,vaccinated,1094
25213,oxfordastrazeneca,989
19576,like,974
35161,u,969
30940,second,888
8880,effective,883
12636,good,875
15629,india,844
24606,one,841
6873,day,792
25798,people,717
31613,sinovac,695
33859,thanks,673
31608,sinopharm,633
22983,news,611
16520,jab,604
12885,great,596
1794,astrazeneca,592
4958,china,581
30189,russia,579
1465,approved,571
28892,received,559
30440,safe,528
5925,coronavirus,524
7964,done,511
38003,well,504
10543,feel,503
12871,grateful,499
10546,feeling,490
30674,say,484
12111,getting,483
26381,pm,482
8877,effect,450
31495,side,450
