state1,state2,manufacturer,allocation,cases,report_rate,party
Alabama,AL,moderna,603400 ,18 ,0.0030%,REPUBLICAN
Alaska,AK,moderna,134000 ,1 ,0.0007%,REPUBLICAN
Arizona,AZ,moderna,855200 ,28 ,0.0033%,DEMOCRAT
Arkansas,AR,moderna,366000 ,4 ,0.0011%,REPUBLICAN
California,CA,moderna,4812300 ,120 ,0.0025%,DEMOCRAT
Colorado,CO,moderna,684300 ,17 ,0.0025%,DEMOCRAT
Connecticut,CT,moderna,453100 ,22 ,0.0049%,DEMOCRAT
Delaware,DE,moderna,120100 ,3 ,0.0025%,DEMOCRAT
District of Columbia,DC,moderna,90900 ,1 ,0.0011%,DEMOCRAT
Florida,FL,moderna,2632300 ,102 ,0.0039%,REPUBLICAN
Georgia,GA,moderna,1247800 ,23 ,0.0018%,DEMOCRAT
Hawaii,HI,moderna,179500 ,6 ,0.0033%,DEMOCRAT
Idaho,ID,moderna,200400 ,5 ,0.0025%,REPUBLICAN
Illinois,IL,moderna,1249000 ,44 ,0.0035%,DEMOCRAT
Indiana,IN,moderna,811100 ,14 ,0.0017%,REPUBLICAN
Iowa,IA,moderna,384900 ,17 ,0.0044%,REPUBLICAN
Kansas,KS,moderna,351600 ,1 ,0.0003%,REPUBLICAN
Kentucky,KY,moderna,549200 ,16 ,0.0029%,REPUBLICAN
Louisiana,LA,moderna,569400 ,7 ,0.0012%,REPUBLICAN
Maine,ME,moderna,173400 ,4 ,0.0023%,DEMOCRAT
Maryland,MD,moderna,746300 ,19 ,0.0025%,DEMOCRAT
Massachusetts,MA,moderna,872900 ,37 ,0.0042%,DEMOCRAT
Michigan,MI,moderna,1242600 ,22 ,0.0018%,DEMOCRAT
Minnesota,MN,moderna,680400 ,15 ,0.0022%,DEMOCRAT
Mississippi,MS,moderna,363600 ,6 ,0.0017%,REPUBLICAN
Missouri,MO,moderna,753200 ,6 ,0.0008%,REPUBLICAN
Montana,MT,moderna,131600 ,2 ,0.0015%,REPUBLICAN
Nebraska,NE,moderna,232500 ,11 ,0.0047%,REPUBLICAN
Nevada,NV,moderna,360500 ,12 ,0.0033%,DEMOCRAT
New Hampshire,NH,moderna,173500 ,5 ,0.0029%,DEMOCRAT
New Jersey,NJ,moderna,1106000 ,52 ,0.0047%,DEMOCRAT
New Mexico,NM,moderna,259300 ,11 ,0.0042%,DEMOCRAT
New York,NY,moderna,1408300 ,82 ,0.0058%,DEMOCRAT
North Carolina,NC,moderna,1258800 ,42 ,0.0033%,REPUBLICAN
North Dakota,ND,moderna,94900 ,4 ,0.0042%,REPUBLICAN
Ohio,OH,moderna,1444000 ,43 ,0.0030%,REPUBLICAN
Oklahoma,OK,moderna,474400 ,11 ,0.0023%,REPUBLICAN
Oregon,OR,moderna,516500 ,10 ,0.0019%,DEMOCRAT
Pennsylvania,PA,moderna,1422400 ,38 ,0.0027%,DEMOCRAT
Rhode Island,RI,moderna,136500 ,3 ,0.0022%,DEMOCRAT
South Carolina,SC,moderna,618100 ,8 ,0.0013%,REPUBLICAN
